,No,시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,경도,위도,상태
4450,8130,서대문구,11410000125,꼬꼬마어린이집,가정,정상,3690,서울특별시 서대문구 거북골로 154 101동 101호(북가좌동 삼호),02-309-4439,02-309-4439,,4,60.56,0,5,6,20,18,37.57635796,126.9132467,미운영,1996-09-12,,,,2021-07-23,일반,1,3,3,0,0,0,0,0,0,7,3,5,10,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,03:10.0,126.9130626,37.5769766,정좌표
4451,8131,은평구,11380000021,아기별어린이집,가정,정상,3333,서울특별시 은평구 연서로27길 13-10,02-388-5943,02-388-5943,,4,60.0,0,4,3,20,2,37.61717171,126.9174285,운영,1996-09-11,,,,2021-07-23,일반,3,2,1,0,0,0,4,0,0,10,0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,03:01.0,126.9174296,37.61767237,정좌표
4452,8132,영등포구,11560000031,아이동산어린이집,법인?단체등,재개,7218,서울특별시 영등포구 선유동2로 17 (양평동3가),02-2068-9327,02-2068-9328,,4,79.0,0,5,1,26,0,37.5307765,126.8950887,미운영,1996-09-10,,,,2021-07-23,야간연장,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,04:11.0,126.8950974,37.53078543,정좌표
4453,8134,강남구,11680000031,구민회관어린이집,국공립,정상,6288,서울특별시 강남구 삼성로 154 (대치동),02-501-6057,02-501-6058,키즈노트앱,5,212.0,1,12,17,72,62,37.49387231,127.0642576,미운영,1996-09-09,,,,2021-07-23,야간연장,2,3,2,1,0,0,0,1,0,9,6,15,14,13,0,0,0,14,0,62,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,04:51.0,127.0642722,37.49388793,정좌표
4454,8135,강서구,11500000299,예은어린이집,민간,정상,7512,서울특별시 강서구 방화대로49길 52,02-2664-1768,02-2662-1765,,11,364.0,1,19,18,137,107,37.56978909,126.8144414,운영,1996-09-06,,,,2021-07-23,야간연장,0,2,5,1,1,1,2,2,0,14,0,9,28,15,20,18,2,15,0,107,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,03:42.0,126.8148809,37.57806775,정좌표
4455,8136,동대문구,11230000085,중앙삐아제어린이집,민간,정상,2409,서울특별시 동대문구 한천로63길 5-8,02-966-9614,02-963-9712,,5,276.0,2,8,15,60,57,37.60401065,127.0667677,운영,1996-09-05,,,,2021-07-23,야간연장,0,1,2,0,0,0,3,2,0,8,0,5,9,0,0,0,11,32,0,57,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,02:01.0,127.0667842,37.60404244,정좌표
4456,8140,강동구,11740000006,애지어린이집,사회복지법인,정상,5364,서울특별시 강동구 진황도로 160 (둔촌동 452-2),02-471-8842,02-471-8841,,7,297.0,1,15,14,87,82,37.53178295,127.1415784,미운영,1996-09-02,,,,2021-07-23,야간연장,1,2,2,1,0,1,0,1,0,8,3,10,14,15,0,20,0,20,0,82,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,14.0,05:11.0,127.1415943,37.53179762,정좌표
4457,8141,강동구,11740000010,키즈랜드어린이집,민간,정상,5388,서울특별시 강동구 성안로13길 42-7 (성내동 507-6),02-476-3821,02-476-0784,,7,233.0,1,10,14,75,61,37.53222802,127.1298752,운영,1996-09-02,,,,2021-07-23,일반,2,2,3,1,1,1,1,1,0,12,2,4,10,12,0,17,4,12,0,61,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,05:11.0,127.1298847,37.53224706,정좌표
4458,8142,동작구,11590000033,예일어린이집,민간,정상,6964,서울특별시 동작구 상도로34가길 23 (상도동),02-825-0152,02-814-0152,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000033,10,249.0,3,16,15,74,58,37.50426125,126.9447639,운영,1996-09-01,,,,2021-07-23,야간연장,1,2,3,1,0,0,0,2,0,9,3,10,19,0,0,0,0,26,0,58,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,04:21.0,126.9447471,37.50427265,정좌표
4459,8143,강서구,11500000247,구립 배다리어린이집,국공립,정상,7766,서울특별시 강서구 곰달래로15길 25 (화곡동),02-2693-9190,02-2694-4233,,5,245.0,1,12,10,79,68,37.53125364,126.8395284,미운영,1996-08-28,,,,2021-07-23,야간연장,0,1,2,1,0,1,0,1,0,6,0,5,14,14,0,19,0,16,0,68,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:41.0,126.8395382,37.53126978,정좌표
4460,8144,도봉구,11320000294,노엘어린이집,민간,정상,1446,서울특별시 도봉구 도봉로109길 98 (쌍문동),02-995-8081,02-995-8082,,6,270.0,1,7,12,63,63,37.64839341,127.0288839,운영,1996-08-28,,,,2021-07-23,일반,0,2,2,1,1,1,0,0,0,7,0,9,14,15,13,12,0,0,0,63,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,02:40.0,127.0289,37.64841896,정좌표
4461,8145,중랑구,11260000023,예쁜꼬마어린이집,가정,정상,2004,서울특별시 중랑구 동일로169길 41 103동 102호(묵동 동구햇살아파트),02-495-3527,02-495-3527,,3,85.0,0,4,8,20,18,37.61330767,127.0745643,미운영,1996-08-28,,,,2021-07-23,일반,1,2,1,0,0,0,1,0,0,5,3,6,6,0,0,0,3,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02:11.0,127.0747635,37.61349266,정좌표
4462,8146,서초구,11650000090,양재복지관어린이집,국공립,정상,6737,서울특별시 서초구 남부순환로 2610 (양재동),02-571-6141,02-577-7269,없음,4,195.0,1,8,9,59,38,37.48449698,127.0361405,미운영,1996-08-28,,,,2021-07-23,야간연장,0,2,2,1,0,0,0,1,0,6,0,10,14,5,0,0,0,9,0,38,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,04:41.0,127.0361641,37.4845261,정좌표
4463,8147,서초구,11650000075,서초구립 서초성모어린이집,국공립,정상,6593,서울특별시 서초구 고무래로8길 21 (반포동),02-594-2124,02-3476-3124,,13,806.0,3,48,47,233,198,37.50104883,127.0095073,미운영,1996-08-28,,,,2021-07-23,장애아통합야간연장,4,9,6,3,2,2,0,0,4,30,11,43,40,37,27,28,0,0,12,198,1.0,0.0,0.0,0.0,0.0,1.0,35.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,47.0,04:40.0,127.0095067,37.50107898,정좌표
4464,8148,금천구,11545000018,또래끼리어린이집,민간,정상,8648,서울특별시 금천구 독산로8다길 6-1,02-804-2623,02-975-2900,http://ddorae.ukid.kr,5,158.0,1,8,6,39,17,37.44763354,126.9080482,운영,1996-08-28,,,,2021-07-23,야간연장,0,1,1,0,0,0,5,3,0,10,0,0,0,0,0,0,5,12,0,17,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,04:00.0,126.9080648,37.44765835,정좌표
4465,8149,중랑구,11260000198,올망졸망어린이집,가정,정상,2054,서울특별시 중랑구 신내로 128 3동 103호(신내동 동성아파트),02-433-7686,02-433-7686,,4,60.0,0,4,8,20,19,37.6083386,127.0960908,운영,1996-08-28,,,,2021-07-23,일반,1,3,2,0,0,0,1,0,0,7,3,10,4,0,0,0,2,0,0,19,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,02:11.0,127.0969142,37.60992447,정좌표
4466,8150,금천구,11545000007,믿음어린이집,민간,정상,8617,서울특별시 금천구 시흥대로100길 38 (독산동),02-807-3316,,,8,151.0,1,10,13,46,29,37.46414123,126.8995551,미운영,1996-08-26,,,,2021-07-23,영아전담,4,3,2,0,0,0,1,0,0,10,6,14,9,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,04:00.0,126.8995654,37.46416896,정좌표
4467,8151,송파구,11710000080,비테에영재어린이집,가정,정상,5785,서울특별시 송파구 오금로46길 51 103호(가락동 훼미리빌라),02-3401-1999,02-448-8612,,4,56.0,0,5,6,20,15,37.49342627,127.1327284,운영,1996-08-23,,,,2021-07-23,야간연장,1,2,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,05:01.0,127.1327299,37.49342536,정좌표
4468,8153,강동구,11740000168,조은어린이집,민간,정상,5267,서울특별시 강동구 고덕로 210 삼익그린아파트 상가 (명일동 28),02-3427-4985,02-3427-4978,,5,163.0,0,8,11,49,47,37.55143654,127.1463253,운영,1996-08-22,,,,2021-07-23,일반,0,0,1,1,1,1,0,0,0,4,0,0,7,15,12,13,0,0,0,47,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,05:11.0,127.1481383,37.55198514,정좌표
4469,8154,동대문구,11230000125,오르다어린이집,민간,정상,2606,서울특별시 동대문구 답십리로48길 24 (답십리동),02-2246-0532,02-2246-0532,다음 지혜로운오르다어린이,5,143.0,0,8,10,39,36,37.57178709,127.057731,운영,1996-08-21,,,,2021-07-23,야간연장,0,3,1,1,0,0,1,1,0,7,0,8,6,0,0,0,3,19,0,36,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,02:00.0,127.057739,37.57179243,정좌표
4470,8157,도봉구,11320000083,유유어린이집,민간,정상,1403,서울특별시 도봉구 노해로63나길 8-11,02-905-0143,02-905-0154,,6,175.0,2,7,14,74,48,37.6544945,127.044692,운영,1996-08-12,,,,2021-07-23,일반,0,2,2,1,0,0,0,2,0,7,0,7,7,11,0,0,0,23,0,48,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,02:41.0,127.0447103,37.65452107,정좌표
4471,8160,강서구,11500000021,화곡어린이집,법인?단체등,정상,7677,서울특별시 강서구 까치산로 60 화곡어린이집 (화곡동),02-2697-3105,02-2697-7943,,5,154.0,1,10,8,59,35,37.54390022,126.8465814,미운영,1996-08-06,,,,2021-07-23,야간연장,0,2,2,1,0,0,0,1,0,6,0,5,7,14,0,0,0,9,0,35,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,03:42.0,126.8466748,37.54377392,정좌표
4472,8163,송파구,11710000154,양무리어린이집,민간,정상,5570,서울특별시 송파구 백제고분로11길 8 (잠실동),02-421-4187,02-416-1004,,8,522.0,1,15,25,122,122,37.5076802,127.0802256,운영,1996-08-02,,,,2021-07-23,일반,0,5,4,2,1,1,0,0,0,13,0,24,28,30,20,20,0,0,0,122,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,25.0,05:02.0,127.0802402,37.5077005,정좌표
4473,8164,송파구,11710000121,조약돌어린이집,법인?단체등,정상,5598,서울특별시 송파구 삼학사로1길 18 (삼전동),02-3432-0008,02-3432-0636,,2,91.0,0,2,7,24,18,37.49808152,127.0947197,미운영,1996-08-02,,,,2021-07-23,영아전담,0,2,2,0,0,0,0,0,0,4,0,5,13,0,0,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,05:02.0,127.0948336,37.49820713,정좌표
4474,8166,노원구,11350000581,평화종합사회복지관 방과후 어린이집,사회복지법인,정상,1786,서울특별시 노원구 노원로 333 (중계3동 평화종합사회복지관내),02-949-0120,02-949-0125,,1,59.0,0,0,2,20,20,37.64652062,127.0688355,미운영,1996-08-01,,,,2021-07-23,방과후 전담,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,02:52.0,127.0697655,37.64663377,정좌표
4475,8167,강남구,11680000025,강남아이트라움어린이집,민간,정상,6339,서울특별시 강남구 개포로124길 13 (일원동),02-2226-5600,02-2226-6812,,8,262.0,1,13,16,91,71,37.49377167,127.0830221,운영,1996-07-31,,,,2021-07-23,일반,2,3,3,2,0,0,0,2,0,12,4,14,21,0,0,0,0,32,0,71,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,04:51.0,127.0830472,37.49378893,정좌표
4476,8172,성동구,11200000031,본향어린이집,법인?단체등,정상,4721,서울특별시 성동구 난계로 61  -46 본향어린이집,02-2291-2350,,(http://cafe.daum.net/bon2350),5,227.0,1,8,14,79,72,37.55757731,127.0229887,운영,1996-07-25,,,,2021-07-23,일반,0,2,2,1,0,1,0,1,0,7,0,8,12,12,0,20,0,20,0,72,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,01:40.0,127.0230047,37.55759615,정좌표
4477,8173,노원구,11350000283,아기별삐아제어린이집,가정,정상,1777,서울특별시 노원구 동일로207길 18 106동 106호(중계동 중계그린1단지아파트),02-6224-7609,02-6224-7609,cafe.naver.com/babystar2007,3,45.0,0,4,6,15,8,37.6446,127.06227,미운영,1996-07-23,,,,2021-07-23,일반,0,2,2,0,0,0,6,0,0,10,0,0,4,0,0,0,4,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,02:52.0,127.0633412,37.64490889,정좌표
4478,8174,서대문구,11410000033,파랑새어린이집,민간,정상,3639,서울특별시 서대문구 통일로39다길 8 (홍제동),02-379-3235,02-379-3288,,8,217.0,2,9,18,97,95,37.58714165,126.9426295,운영,1996-07-23,,,,2021-07-23,일반,0,3,3,0,0,0,0,4,0,10,0,15,18,0,0,0,0,62,0,95,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,03:10.0,126.9426671,37.58718025,정좌표
4479,8178,도봉구,11320000035,푸른나무어린이집,법인?단체등,정상,1351,서울특별시 도봉구 도봉로 715 (방학동),02-3493-7747,02-3493-7701,,4,125.0,0,5,7,40,16,37.66827593,127.0429421,운영,1996-07-18,,,,2021-07-23,일반,0,0,1,0,0,0,2,1,0,4,0,0,3,0,0,0,3,10,0,16,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,02:41.0,127.0429487,37.66830017,정좌표
4480,8180,서초구,11650000089,서초장미어린이집,국공립,정상,6733,서울특별시 서초구 남부순환로 2543-5,02-3474-6333,02-3474-6335,kidrose0.kidswon.com,5,318.0,1,11,15,106,84,37.48418877,127.0284341,미운영,1996-07-15,,,,2021-07-23,야간연장,0,3,2,1,1,1,0,0,0,8,0,15,14,15,20,20,0,0,0,84,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,04:40.0,127.0284598,37.48419599,정좌표
4481,8182,서대문구,11410000188,샛별어린이집,민간,정상,3650,서울특별시 서대문구 연희로41길 45 (홍은동),02-379-6441,02-379-6440,,5,257.0,0,8,10,49,35,37.5906657,126.9351267,미운영,1996-07-12,,,,2021-07-23,일반시간제보육,0,1,2,0,0,0,0,2,0,5,0,5,11,0,0,0,0,19,0,35,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,03:10.0,126.9351553,37.5906733,정좌표
4482,8183,성북구,11290000086,칭찬가득어린이집,가정,정상,2726,서울특별시 성북구 숭인로 16 117동 104호(길음동 동부센트레빌아파트),02-984-6223,02-984-6269,,4,51.0,0,4,4,19,6,37.61178144,127.0238795,미운영,1996-07-12,,,,2021-07-23,일반,2,2,1,0,0,0,4,0,0,9,0,0,5,0,0,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02:21.0,127.0238768,37.6117774,정좌표
4483,8185,강서구,11500000171,샛별영재어린이집,가정,정상,7531,서울특별시 강서구 허준로 175 607동 103호(가양동 가양6단지아파트),02-3661-5129,02-3661-5129,,2,38.0,0,3,5,13,11,37.5631749,126.859275,미운영,1996-07-11,,,,2021-07-23,일반,0,0,1,0,0,0,4,0,0,5,0,0,6,0,0,0,5,0,0,11,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,03:41.0,126.8587523,37.56336323,정좌표
4484,8186,관악구,11620000254,전박사어린이집,민간,정상,8709,서울특별시 관악구 보라매로 62 보라매 삼성아파트 단지내 전박사 어린이집,02-873-7208,02-875-9660,mondrjun@hanmail.net,5,317.0,1,8,11,86,72,37.49402158,126.9278698,운영,1996-07-09,,,,2021-07-23,일반,0,1,2,0,0,0,0,4,0,7,0,5,11,0,0,0,0,56,0,72,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,04:31.0,126.9286429,37.4942731,정좌표
4485,8188,강남구,11680000148,늘푸른어린이집,민간,정상,6339,서울특별시 강남구 개포로128길 19 (일원동),02-2226-1010,02-2226-1910,www.gncare.go.kr/alwayspurun,4,99.0,0,7,1,27,0,37.49384946,127.0838966,미운영,1996-07-03,,,,2021-07-23,야간연장,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,04:51.0,127.0838925,37.49384257,정좌표
4486,8191,양천구,11470000051,에덴어린이집,민간,정상,7984,서울특별시 양천구 목동동로 419 (목동),02-2655-1135,,,6,254.0,2,16,11,79,76,37.53673088,126.883153,미운영,1996-06-27,,,,2021-07-23,일반,0,0,2,2,1,1,0,0,0,6,0,0,13,25,18,20,0,0,0,76,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:31.0,126.8831792,37.5367538,정좌표
4487,8193,강서구,11500000150,고모랑이모랑어린이집,가정,정상,7623,서울특별시 강서구 송정로 46-6,02-2661-2202,02-2661-2202,,3,54.0,0,5,2,16,1,37.55893219,126.8108116,미운영,1996-06-21,,,,2021-07-23,일반,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,03:41.0,126.8108321,37.5589549,정좌표
4488,8194,동작구,11590000183,신영어린이집,민간,정상,7064,서울특별시 동작구 여의대방로 28 현대아파트 104동 앞,02-845-9874,02-841-9874,jys8380@hanmail.net,6,200.0,1,7,11,68,66,37.49466419,126.912119,미운영,1996-06-21,,,,2021-07-23,야간연장,0,0,2,2,1,1,0,0,0,6,0,0,12,15,19,20,0,0,0,66,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,04:20.0,126.9120745,37.49560243,정좌표
4489,8195,마포구,11440000086,선애어린이집,민간,정상,4008,서울특별시 마포구 망원로6길 6-1,02-3141-7470,02-325-3928,,8,185.0,2,16,11,70,61,37.55663778,126.9028966,미운영,1996-06-20,,,,2021-07-23,일반,0,0,2,2,1,1,0,1,0,7,0,0,7,20,16,18,0,0,0,61,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,03:20.0,126.9029141,37.55665899,정좌표
4490,8198,양천구,11470000104,꽃사슴어린이집,민간,재개,7975,서울특별시 양천구 목동중앙본로2길 13 (목동),02-2647-1465,02-2653-1465,http://www.club.cyworld.com/happy1465,5,229.0,3,10,13,85,73,37.53942783,126.8704714,운영,1996-06-13,,,,2021-07-23,일반,0,1,3,1,1,1,1,0,0,8,0,5,20,13,16,14,5,0,0,73,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,03:31.0,126.8704655,37.53941779,정좌표
4491,8203,강동구,11740000134,강동무지개어린이집,민간,재개,5314,서울특별시 강동구 양재대로125길 30,02-473-7662,02-473-7662,,6,193.0,1,6,14,72,70,37.54460484,127.1406677,운영,1996-06-07,,,,2021-07-23,일반,0,0,2,1,1,0,2,2,0,8,0,0,14,14,17,0,10,15,0,70,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,05:10.0,127.1406726,37.54461544,정좌표
4492,8204,노원구,11350000220,프뢰벨슐레어린이집,민간,정상,1626,서울특별시 노원구 동일로242다길 11 (상계동),02-932-6966,02-932-6933,http://cafe.daum.net/froebel-schule,5,175.0,1,7,13,52,48,37.67585872,127.0568948,운영,1996-06-07,,,,2021-07-23,일반,0,4,3,1,0,0,0,0,0,8,0,17,21,10,0,0,0,0,0,48,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,02:52.0,127.0569194,37.67585366,정좌표
4493,8207,서초구,11650000029,서초중앙어린이집,민간,정상,6698,서울특별시 서초구 남부순환로289길 35 (방배동),02-582-4356,02-523-6869,htt://club.cyworld.com/seochojungang,7,495.0,2,9,11,106,43,37.4767691,126.9890757,운영,1996-06-04,,,,2021-07-23,일반,0,0,5,1,1,0,0,2,0,9,0,0,2,0,14,0,0,27,0,43,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,04:40.0,126.9890992,37.4767955,정좌표
4494,8208,도봉구,11320000093,네잎크로버어린이집,민간,정상,1464,서울특별시 도봉구 덕릉로59아길 42,02-902-8543,,키즈노트,5,222.0,2,16,11,49,30,37.64362158,127.0391181,운영,1996-06-03,,,,2021-07-23,야간연장,2,3,3,1,1,1,3,3,0,17,0,3,6,5,0,0,2,14,0,30,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,02:40.0,127.0391575,37.64256924,정좌표
4495,8211,성동구,11200000080,송정어린이집,민간,정상,4801,서울특별시 성동구 동일로 187 (송정동),02-498-6198,02-498-3442,songjung.ukid.kr,3,264.0,0,8,6,39,13,37.54888601,127.0674907,미운영,1996-06-01,,,,2021-07-23,일반,0,1,1,0,0,0,3,3,0,8,0,0,0,0,0,0,5,8,0,13,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01:40.0,127.0674359,37.54893297,정좌표
4496,8212,강동구,11740000113,명일어린이집,가정,정상,5302,서울특별시 강동구 천중로49길 58 102동 106호(길동 우성아파트),02-3427-4825,02-488-0605,,3,58.0,0,4,5,16,0,37.54336064,127.1439476,미운영,1996-06-01,,,,2021-07-23,야간연장,1,0,1,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,05:11.0,127.1441553,37.54320067,정좌표
4497,8214,송파구,11710000271,피노키오그림나라어린이집,가정,정상,5668,서울특별시 송파구 가락로21길 30 (송파동),02-417-5378,02-430-7307,,3,77.0,0,4,5,20,8,37.50453955,127.1105179,미운영,1996-05-30,,,,2021-07-23,일반,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,8,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,05:02.0,127.1105238,37.50454131,정좌표
4498,8215,광진구,11215000112,구립구의2동어린이집,국공립,정상,4959,서울특별시 광진구 자양로44길 91 (구의동),02-446-6435,02-458-3157,,7,304.0,3,16,13,59,57,37.55021263,127.0962494,미운영,1996-05-29,,,,2021-07-23,장애아통합야간연장,0,2,2,0,0,0,0,2,3,9,0,10,12,0,0,0,0,30,5,57,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,01:50.0,127.0962581,37.55022933,정좌표
4499,8217,성동구,11200000129,두리두리어린이집,가정,정상,4710,서울특별시 성동구 왕십리로31나길 22 3동 109호(하왕십리동 한신무학아파트),02-2295-5689,02-2295-5689,,3,53.0,0,4,6,20,14,37.56257201,127.0281483,미운영,1996-05-21,,,,2021-07-23,일반,2,1,1,0,0,0,6,0,0,10,0,0,0,0,0,0,14,0,0,14,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,01:40.0,127.0279233,37.56277398,정좌표
4500,8220,성북구,11290000287,짐랜드 어린이집,민간,정상,2719,서울특별시 성북구 정릉로29길 10 (정릉동),02-943-2007,02-915-0811,gymland.kidis.co.kr,12,408.0,2,48,22,143,141,37.60388765,127.0158011,운영,1996-05-20,,,,2021-07-23,일반,0,0,4,3,1,2,0,1,0,11,0,0,26,40,19,37,0,19,0,141,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,22.0,02:21.0,127.0158175,37.60390744,정좌표
4501,8221,노원구,11350000340,또또어린이집,가정,정상,1825,서울특별시 노원구 공릉로 126 103동 104호(공릉동 두산힐스빌아파트),02-976-6922,02-976-6922,http://cafe.daum.net/ddoddo3,4,90.0,0,4,4,20,5,37.62103384,127.0799535,미운영,1996-05-17,,,,2021-07-23,일반시간제보육,1,0,1,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,02:51.0,127.0800585,37.62128687,정좌표
